id,scientific_name,common_name,issue,level,parts,notes,reason
AAA0051,Ageratum houstonianum,Bluemink,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0062,Alcea rosea,Hollyhock,unsupported_level,faint,flower,Mild scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0063,Alcea rosea 'Nigra',Black Hollyhock,unsupported_level,faint,flower,Very light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0064,Allamanda cathartica,Golden Trumpet,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0065,Alliaria petiolata,Garlic Mustard,non_flower_fragrance_hidden,moderate,leaf,Crushed leaves smell of garlic.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0066,Allium cepa,Common Onion,non_flower_fragrance_hidden,strong,all,Characteristic pungent sulfur aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0067,Allium christophii,Star Of Persia,unsupported_level,faint,leaf,onion-like when crushed,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0067,Allium christophii,Star Of Persia,non_flower_fragrance_hidden,faint,leaf,onion-like when crushed,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0068,Allium fistulosum,Welsh Onion,non_flower_fragrance_hidden,moderate,leaf,Oniony aroma from leaves.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0069,Allium karataviense,Turkistan Onion,unsupported_level,faint,leaf,onion-like,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0069,Allium karataviense,Turkistan Onion,non_flower_fragrance_hidden,faint,leaf,onion-like,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0070,Allium porrum,Leek,non_flower_fragrance_hidden,moderate,all,Mild onion-garlic aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0070,Allium porrum,Leek,level_too_high_for_note,moderate,all,Mild onion-garlic aroma.,Fragrance note sounds weaker than the stored level.
AAA0071,Allium sativum,Garlic,non_flower_fragrance_hidden,strong,bulb,"Intense pungent sulfur aroma from allicin, released on crushing.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0072,Allium schoenoprasum,Chives,non_flower_fragrance_hidden,moderate,leaf,Mild onion aroma from crushed leaves.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0072,Allium schoenoprasum,Chives,level_too_high_for_note,moderate,leaf,Mild onion aroma from crushed leaves.,Fragrance note sounds weaker than the stored level.
AAA0073,Allium schubertii,Allium schubertii,unsupported_level,faint,leaf,onion-like,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0073,Allium schubertii,Allium schubertii,non_flower_fragrance_hidden,faint,leaf,onion-like,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0074,Allium sphaerocephalon,Round-Headed Leek,unsupported_level,faint,leaf,onion-like,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0074,Allium sphaerocephalon,Round-Headed Leek,non_flower_fragrance_hidden,faint,leaf,onion-like,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0076,Allium ursinum,Ramsons,non_flower_fragrance_hidden,strong,"leaf,bulb",Strong garlic aroma from crushed leaves and bulbs.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0089,Aloe vera,Aloe Vera,unsupported_level,faint,flower,Flowers have a light sweet scent attractive to sunbirds and bees.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0090,Aloysia citriodora,Lemon Verbena,non_flower_fragrance_hidden,strong,leaf,"Exceptionally intense pure lemon aroma, stronger than lemongrass or lemon balm.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0092,Alpinia zerumbet,Shell Ginger,level_too_high_for_note,moderate,"leaf,flower",Aromatic gingery-camphorous scent from crushed leaves; flowers lightly sweet.,Fragrance note sounds weaker than the stored level.
AAA0102,Amelanchier laevis,Smooth Shadbush,unsupported_level,faint,flower,mild almond,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0103,Amelanchier x grandiflora,Serviceberry,unsupported_level,faint,flower,Light sweet scent from flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0104,Ammi majus,Bullwort,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0113,Anethum graveolens,Dill,non_flower_fragrance_hidden,strong,"leaf,seed",Distinctive caraway-anise aroma from carvone.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0114,Angelica archangelica,Garden Angelica,non_flower_fragrance_hidden,moderate,"leaf,root,seed",Musky-sweet anise-celery aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0115,Angelica gigas,Korean Angelica,non_flower_fragrance_hidden,moderate,"leaf,root",Aromatic anise-celery scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0116,Angelonia angustifolia,Summer Snapdragon,unsupported_level,faint,"flower,leaf",Subtle grape or apple candy scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0118,Anthemis tinctoria,Golden Marguerite,non_flower_fragrance_hidden,moderate,leaf,aromatic herbaceous,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0123,Antirrhinum majus,Snapdragon,unsupported_level,faint,flower,"Light sweet scent, more noticeable in warm conditions.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0126,Aquilegia canadensis,Red Columbine,unsupported_level,faint,flower,Flowers lightly sweet-scented; seeds historically used as a perfume rub.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0132,Arctostaphylos hookeri,Hooker's Manzanita,unsupported_level,faint,flower,Mild honey scent from urn flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0137,Argyranthemum frutescens,Marguerite Daisy,unsupported_level,faint,leaf,Aromatic foliage when bruised.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0137,Argyranthemum frutescens,Marguerite Daisy,non_flower_fragrance_hidden,faint,leaf,Aromatic foliage when bruised.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0138,Aristolochia macrophylla,Pipevine,unsupported_level,faint,flower,Mild carrion-like scent attracts fly pollinators.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0139,Aronia prunifolia,Purple Chokeberry,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0140,Artemisia absinthium,Absinthe Wormwood,non_flower_fragrance_hidden,strong,leaf,Intensely bitter-aromatic sage-like scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0141,Artemisia annua,Sweet Wormwood,non_flower_fragrance_hidden,strong,leaf,Strong sweet camphorous aroma from crushed foliage.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0142,Artemisia dracunculus,Tarragon,non_flower_fragrance_hidden,strong,leaf,Distinctive anise-liquorice aroma from estragole.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0143,Artemisia ludoviciana,Silver Wormwood,non_flower_fragrance_hidden,strong,leaf,Sage-camphor aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0144,Artemisia vulgaris,Common Mugwort,non_flower_fragrance_hidden,moderate,leaf,Distinctive sage-chamomile aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0145,Aruncus dioicus,Goatsbeard,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0147,Asclepias tuberosa,Butterfly Milkweed,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0148,Asimina triloba,Common Pawpaw,unsupported_level,faint,"flower,fruit",Flowers emit a faint yeasty scent; ripe fruit has tropical aroma.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0149,Asparagus densiflorus,Sprenger's Asparagus,unsupported_level,faint,flower,Small flowers have a light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0151,Asparagus setaceus,Common Asparagus Fern,unsupported_level,faint,flower,Tiny flowers have a faint sweet scent; rarely noticed indoors.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0155,Aster amellus,Italian Aster,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0156,Aster novae-angliae,New England Aster,unsupported_level,faint,"flower,leaf",Foliage has a mild resinous scent when crushed; flowers only lightly scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0157,Aster novi-belgii,New York Aster,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0158,Aster x frikartii,Frikart's Aster,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0159,Astilbe chinensis,Tall False-Buck's-Beard,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0160,Astilbe japonica,False-Buck's-Beard,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0161,Astilbe rubra,Tall False-Buck's-Beard,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0161,Astilbe rubra,Tall False-Buck's-Beard,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0162,Astilbe simplicifolia,Entire-Leaf False Goat’s Beard,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0163,Astilbe thunbergii,Ostrich Plume,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0163,Astilbe thunbergii,Ostrich Plume,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0164,Astilbe x arendsii,Astilbe,unsupported_level,faint,flower,Subtle sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0167,Atropa belladonna,Deadly Nightshade,unsupported_level,faint,flower,"Slightly unpleasant, musty.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0171,Azalea flammea,Oconee Azalea,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0171,Azalea flammea,Oconee Azalea,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0174,Baccharis pilularis,Coyote Brush,unsupported_level,faint,leaf,Resinous scent from crushed leaves.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0174,Baccharis pilularis,Coyote Brush,non_flower_fragrance_hidden,faint,leaf,Resinous scent from crushed leaves.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0178,Baptisia alba,Thick-Pod White Wild Indigo,unsupported_level,faint,flower,Flowers very lightly pea-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0180,Baptisia tinctoria,Eastern Wild Indigo,unsupported_level,faint,flower,Flowers very lightly pea-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0188,Bellis perennis,Lawn Daisy,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0189,Berberis thunbergii,Japanese Barberry,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0196,Bignonia capreolata,Cross Vine,unsupported_level,faint,flower,Mild mocha-coffee fragrance to some noses.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0198,Borago officinalis,Borage,unsupported_level,faint,leaf,Mild cucumber-saline aroma.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0198,Borago officinalis,Borage,non_flower_fragrance_hidden,faint,leaf,Mild cucumber-saline aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0202,Brassica juncea,Brown Mustard,non_flower_fragrance_hidden,moderate,leaf,Sharp mustardy aroma when cut.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0218,Buddleja globosa,Orange-Ball Tree,level_too_high_for_note,moderate,flower,Flowers honey-sweet with a faint citrus note.,Fragrance note sounds weaker than the stored level.
AAA0219,Buddleja lindleyana,Lindley's Butterflybush,unsupported_level,faint,flower,Flowers lightly sweet-scented; less intense than B. davidii.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0219,Buddleja lindleyana,Lindley's Butterflybush,level_too_low_for_note,faint,flower,Flowers lightly sweet-scented; less intense than B. davidii.,Fragrance note sounds stronger than the stored level.
AAA0220,Buxus microphylla,Small-Leaved Box,unsupported_level,faint,leaf,Characteristic musky boxwood scent—polarizing; some people find it unpleasant.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0220,Buxus microphylla,Small-Leaved Box,non_flower_fragrance_hidden,faint,leaf,Characteristic musky boxwood scent—polarizing; some people find it unpleasant.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0221,Buxus sempervirens,Common Box,non_flower_fragrance_hidden,moderate,leaf,"Foliage has a distinctive pungent, musky, cat-urine-like scent in warm weather — polarizing.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0222,Buxus sinica var. insularis,Korean Boxwood,unsupported_level,faint,leaf,Mild musky boxwood scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0222,Buxus sinica var. insularis,Korean Boxwood,non_flower_fragrance_hidden,faint,leaf,Mild musky boxwood scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0233,Calendula arvensis,Field Marigold,unsupported_level,faint,leaf,Resinous aromatic foliage when bruised.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0233,Calendula arvensis,Field Marigold,non_flower_fragrance_hidden,faint,leaf,Resinous aromatic foliage when bruised.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0237,Callicarpa americana,American Beautyberry,unsupported_level,faint,leaf,Leaves release a mild herbal scent when crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0237,Callicarpa americana,American Beautyberry,non_flower_fragrance_hidden,faint,leaf,Leaves release a mild herbal scent when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0242,Calocedrus decurrens,California Incense-Cedar,non_flower_fragrance_hidden,moderate,"leaf,wood",Distinctive incense-like aromatic scent from cut wood and crushed foliage — familiar as the scent of wooden pencils.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0243,Calochortus superbus,Superb Mariposa Lily,unsupported_level,faint,flower,Faint sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0244,Calochortus venustus,Butterfly Mariposa Lily,unsupported_level,faint,flower,Faint sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0247,Calylophus drummondianus,Yellow Sundrops,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0247,Calylophus drummondianus,Yellow Sundrops,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0248,Calystegia sepium,Hedge Bindweed,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0249,Camassia cusickii,Cusick's Camas,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0250,Camassia leichtlinii,Great Camas,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0251,Camassia quamash,Small Camas,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0254,Camellia sasanqua,Sasanqua Camellia,unsupported_level,faint,flower,Mild tea-like scent in some cultivars.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0255,Camellia sinensis,Tea,unsupported_level,faint,flower,Light sweet scent from flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0262,Capsicum annuum,Chili Pepper,unsupported_level,faint,leaf,Mild Solanaceae foliage aroma.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0262,Capsicum annuum,Chili Pepper,non_flower_fragrance_hidden,faint,leaf,Mild Solanaceae foliage aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0263,Capsicum baccatum,Locoto Pepper,unsupported_level,faint,fruit,Fruity citrus aroma from pods.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0263,Capsicum baccatum,Locoto Pepper,non_flower_fragrance_hidden,faint,fruit,Fruity citrus aroma from pods.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0264,Capsicum chinense,Aji Pepper,non_flower_fragrance_hidden,moderate,fruit,Distinctive fruity-floral aroma unique to the species.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0275,Caryopteris divaricata,Tripora,non_flower_fragrance_hidden,strong,leaf,"Foliage strongly pungent when crushed, often described as cat-urine-like.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0277,Caryopteris x clandonensis,Caryopteris x clandonensis,non_flower_fragrance_hidden,moderate,leaf,Pungent aromatic sage-camphor scent when leaves are crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0279,Ceanothus americanus,New Jersey Tea,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0280,Ceanothus gloriosus,Point Reyes Ceanothus,unsupported_level,faint,flower,Mild honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0281,Ceanothus griseus horizontalis,Ceanothus griseus horizontalis,unsupported_level,faint,flower,Faint honey-like scent from flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0282,Ceanothus impressus,Santa Barbara Ceanothus,unsupported_level,faint,flower,Honey-like scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0283,Ceanothus maritimus,Maritime Ceanothus,unsupported_level,faint,flower,Faint honey scent from flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0284,Ceanothus thyrsiflorus,Blueblossom,unsupported_level,faint,flower,Honey-like scent attracting bees.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0285,Cedrus atlantica,Atlas Cedar,non_flower_fragrance_hidden,strong,"leaf,wood","Classic cedarwood aroma—warm, balsamic, long-lasting.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0286,Cedrus deodara,Deodar Cedar,non_flower_fragrance_hidden,moderate,"leaf,wood","Distinctive warm, camphorous cedar scent from foliage and wood.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0287,Cedrus libani,Lebanon Cedar,non_flower_fragrance_hidden,strong,"leaf,wood","Classic cedarwood aroma—warm, balsamic, resinous.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0288,Celastrus orbiculatus,Asian Bittersweet,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0297,Centaurea stoebe,Spotted Knapweed,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0303,Cercis chinensis,Chinese Redbud,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0308,Chaenomeles cathayensis,Cathay Quince,non_flower_fragrance_hidden,moderate,fruit,Ripe fruits emit a powerful sweet quince-pineapple aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0309,Chaenomeles japonica,Japanese Quince,unsupported_level,faint,"flower,fruit",Flowers lightly fragrant; ripe fruit strongly aromatic.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0310,Chaenomeles speciosa,Chinese Quince,non_flower_fragrance_hidden,moderate,fruit,Ripe fruit strongly aromatic like quince; flowers lightly fragrant.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0310,Chaenomeles speciosa,Chinese Quince,level_too_high_for_note,moderate,fruit,Ripe fruit strongly aromatic like quince; flowers lightly fragrant.,Fragrance note sounds weaker than the stored level.
AAA0311,Chamaecyparis pisifera,Sawara Cypress,non_flower_fragrance_hidden,moderate,"leaf,wood",Aromatic cypress scent when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0312,Chamaedorea elegans,Parlour Palm,unsupported_level,faint,flower,Tiny yellow flowers have a light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0317,Chionodoxa forbesii,Forbes' Glory-Of-The-Snow,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0319,Chionodoxa sardensis,Lesser Glory-Of-The-Snow,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0320,Chitalpa tashkentensis,× Chitalpa,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0322,Chrysactinia mexicana,Damianita,non_flower_fragrance_hidden,strong,leaf,Sharp resinous herbal scent when foliage is brushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0325,Chrysanthemum x morifolium,Chrysanthemum × Morifolium,unsupported_level,faint,"flower,leaf",Distinctive herbaceous chrysanthemum scent; foliage more pungent than flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0325,Chrysanthemum x morifolium,Chrysanthemum × Morifolium,level_too_low_for_note,faint,"flower,leaf",Distinctive herbaceous chrysanthemum scent; foliage more pungent than flowers.,Fragrance note sounds stronger than the stored level.
AAA0330,Cirsium arvense,Creeping Thistle,unsupported_level,faint,flower,Light honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0342,Clematis alpina,Alpine Clematis,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0346,Clematis virginiana,Virgin's-Bower,unsupported_level,faint,flower,Mild sweet fragrance.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0348,Cleome hassleriana,Spider Flower,non_flower_fragrance_hidden,moderate,leaf,Foliage has a pungent skunky or musky scent when brushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0349,Cleome serrulata,Rocky Mountain Beeplant,non_flower_fragrance_hidden,moderate,leaf,Foliage emits a pungent skunky odor.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0356,Coleus scutellarioides,Coleus,unsupported_level,faint,leaf,Mild minty scent when leaves crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0356,Coleus scutellarioides,Coleus,non_flower_fragrance_hidden,faint,leaf,Mild minty scent when leaves crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0362,Convolvulus arvensis,Field Bindweed,unsupported_level,faint,flower,Light sweet scent in morning.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0367,Coriandrum sativum,Coriander,non_flower_fragrance_hidden,strong,"leaf,seed","Leaf with distinctive citrus-soap aroma (the ""soap"" perception is genetically mediated); seed with warm citrus-spice notes.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
