priority,id,scientific_name,subject,current_level,results,source_statuses,recommendation,evidence,current_notes_en
P1,AAA0912,Opuntia microdasys,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA lists Opuntia as non-toxic chemically; primary hazard is glochid injury.
P1,AAA0912,Opuntia microdasys,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA lists Opuntia as non-toxic chemically; primary hazard is glochid injury.
P1,AAA1036,Pittosporum tobira,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not prominently listed by ASPCA. Low-level toxicity.
P1,AAA1036,Pittosporum tobira,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not prominently listed by ASPCA. Low-level toxicity.
P1,AAA1246,Rosmarinus officinalis,cat,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State no_match (not_checked)",Leaf and moderate essential oil use safe. Concentrated oils hazardous to cats; seizures in very high doses reported in humans.
P1,AAA1281,Salvia officinalis,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Generally safe in culinary use. Thujone content means avoid long-term high-dose tea use during pregnancy.
P1,AAA1300,Satureja hortensis,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Generally regarded as safe in culinary amounts.
P1,AAA1367,Stephanotis floribunda,cat,2,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review severity: source indicates non-toxic but YardMate has moderate/severe warning.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not individually ASPCA-listed; assessment based on milkweed-family (Apocynaceae) toxicology.
P1,AAA1367,Stephanotis floribunda,dog,2,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review severity: source indicates non-toxic but YardMate has moderate/severe warning.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not individually ASPCA-listed; assessment based on milkweed-family (Apocynaceae) toxicology.
P1,AAA1412,Thymus vulgaris,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Generally safe in culinary use; concentrated essential oil hazardous to pets and requires dilution for topical use.
P1,AAA1428,Toxicodendron radicans,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Urushiol causes dermatitis in most humans; pets rarely react but transfer oil on fur. Never burn.
P1,AAA1428,Toxicodendron radicans,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Urushiol causes dermatitis in most humans; pets rarely react but transfer oil on fur. Never burn.
P1,AAA1429,Trachelospermum jasminoides,cat,2,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review severity: source indicates non-toxic but YardMate has moderate/severe warning.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)","Not specifically listed by ASPCA but belongs to the toxic Apocynaceae family (same as oleander, dogbane)."
P1,AAA1429,Trachelospermum jasminoides,dog,2,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review severity: source indicates non-toxic but YardMate has moderate/severe warning.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)","Not specifically listed by ASPCA but belongs to the toxic Apocynaceae family (same as oleander, dogbane)."
P2,AAA0020,Acer rubrum,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/acer-rubrum/,"ASPCA lists Acer rubrum as highly toxic to horses (wilted/dried leaves). Not toxic to dogs, cats, or humans."
P2,AAA0024,Achillea millefolium,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/achillea-millefolium/,"ASPCA lists Achillea as toxic to dogs, cats, horses."
P2,AAA0032,Adenium obesum,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/adenium-obesum/,Extremely toxic sap; always wash hands after handling and keep away from pets and children.
P2,AAA0036,Aesculus flava,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/aesculus-flava/,ASPCA lists Aesculus as toxic to pets.
P2,AAA0037,Aesculus glabra,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/aesculus-glabra/,ASPCA lists Aesculus as toxic to pets. Historical Indigenous use required careful leaching.
P2,AAA0038,Aesculus pavia,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/aesculus-pavia/,ASPCA lists Aesculus as toxic to pets.
P2,AAA0039,Agarista populifolia,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/agarista-populifolia/,Ericaceae family toxicity; avoid ingestion.
P2,AAA0066,Allium cepa,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/allium-cepa/,ASPCA lists all Allium species as toxic to dogs and cats at dose-dependent levels. Any onion-containing table food is a pet hazard.
P2,AAA0071,Allium sativum,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/allium-sativum/,ASPCA lists all Allium species as toxic to dogs and cats; garlic more toxic per gram than onion.
P2,AAA0072,Allium schoenoprasum,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/allium-schoenoprasum/,ASPCA lists all Allium species as toxic to dogs and cats. Keep culinary scraps away from pets.
P2,AAA0089,Aloe vera,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/aloe-vera/,Toxicity is concentrated in the yellow sap (latex) under the skin of the leaf; the inner clear gel is minimally toxic and is the part used medicinally and in food.
P2,AAA0090,Aloysia citriodora,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/aloysia-citriodora/,Generally regarded as safe.
P2,AAA0093,Alstroemeria ligtu,cat,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State no_match (not_checked)",Sap can cause contact dermatitis in florists; generally low toxicity to pets.
P2,AAA0093,Alstroemeria ligtu,dog,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State no_match (not_checked)",Sap can cause contact dermatitis in florists; generally low toxicity to pets.
P2,AAA0097,Amaranthus retroflexus,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/amaranthus-retroflexus/,Edible as cooked leafy green in moderation. Livestock fed heavy pigweed hay can develop nitrate poisoning.
P2,AAA0104,Ammi majus,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/ammi-majus/,Sap plus UV light causes severe blistering; wear gloves when handling.
P2,AAA0136,Arctotis stoechadifolia,cat,,review_current_unknown; review_current_unknown,non_toxic; non_toxic,Review: YardMate level is null while source has a signal.,"ASPCA non_toxic (exact, review_current_unknown); NC State non_toxic (review_current_unknown)",Not listed by ASPCA; no significant toxicity reported.
P2,AAA0136,Arctotis stoechadifolia,dog,,review_current_unknown; review_current_unknown,non_toxic; non_toxic,Review: YardMate level is null while source has a signal.,"ASPCA non_toxic (exact, review_current_unknown); NC State non_toxic (review_current_unknown)",Not listed by ASPCA; no significant toxicity reported.
P2,AAA0142,Artemisia dracunculus,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/artemisia-dracunculus/,Safe in culinary amounts; avoid concentrated essential oil long-term.
P2,AAA0146,Asclepias incarnata,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/asclepias-incarnata/,"ASPCA lists milkweeds as toxic to dogs, cats, and horses."
P2,AAA0147,Asclepias tuberosa,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/asclepias-tuberosa/,ASPCA lists milkweeds generally as toxic; A. tuberosa has less cardiac glycoside content than more showy milkweeds.
P2,AAA0183,Begonia grandis,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/begonia-grandis/,ASPCA lists Begonia as toxic; tubers contain highest concentration of oxalates.
P2,AAA0198,Borago officinalis,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/borago-officinalis/,Culinary amounts generally safe; some sources advise against daily long-term consumption due to pyrrolizidine alkaloid content.
P2,AAA0202,Brassica juncea,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/brassica-juncea/,Culinary vegetable; non-toxic at normal amounts. Very large quantities can cause GI upset in pets.
P2,AAA0213,Browallia viscosa,cat,,not_checked; review_current_unknown,no_match; toxic,Review: YardMate level is null while source has a signal.,"ASPCA no_match (none, not_checked); NC State toxic (review_current_unknown)",Solanaceae family; avoid ingestion as a precaution.
P2,AAA0213,Browallia viscosa,dog,,not_checked; review_current_unknown,no_match; toxic,Review: YardMate level is null while source has a signal.,"ASPCA no_match (none, not_checked); NC State toxic (review_current_unknown)",Solanaceae family; avoid ingestion as a precaution.
P2,AAA0220,Buxus microphylla,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/buxus-microphylla/,"ASPCA lists Buxus as toxic to dogs, cats, and horses. Historic livestock poisonings documented."
P2,AAA0221,Buxus sempervirens,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/buxus-sempervirens/,"ASPCA lists boxwood as toxic to dogs, cats, and horses."
P2,AAA0223,Caladium bicolor,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/caladium-bicolor/,Tubers are as toxic as the foliage and must not be eaten.
P2,AAA0278,Catharanthus roseus,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/catharanthus-roseus/,"ASPCA lists Catharanthus as toxic to dogs, cats, and horses. The source of critical chemotherapy drugs."
P2,AAA0289,Celastrus scandens,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/celastrus-scandens/,Bright berries tempting to children; all parts contain toxic alkaloids. Do not consume.
P2,AAA0296,Centaurea solstitialis,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/centaurea-solstitialis/,Chronic ingestion causes fatal neurological disease in horses; other livestock less affected.
P2,AAA0298,Cephalanthus occidentalis,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/cephalanthus-occidentalis/,Livestock have occasionally been poisoned by the bark. Not commonly eaten; low practical risk.
P2,AAA0313,Chamaemelum nobile,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/chamaemelum-nobile/,ASPCA lists chamomile as mildly toxic to pets; risk of Asteraceae allergy in humans.
P2,AAA0325,Chrysanthemum x morifolium,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/chrysanthemum-x-morifolium/,"ASPCA lists Chrysanthemum as toxic to dogs, cats, and horses."
P2,AAA0337,Citrus x paradisi,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/citrus-x-paradisi/,ASPCA lists Citrus as mildly toxic to pets. Major drug-interaction concern in humans.
P2,AAA0344,Clematis montana,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/clematis-montana/,"ASPCA lists Clematis as toxic to dogs, cats, horses. Protoanemonin breaks down to nontoxic anemonin in dried plant material."
P2,AAA0345,Clematis terniflora,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/clematis-terniflora/,ASPCA toxic.
P2,AAA0346,Clematis virginiana,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/clematis-virginiana/,ASPCA toxic. Indigenous peoples used tiny amounts externally but the plant is not safely edible.
P2,AAA0347,Clematis viticella,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/clematis-viticella/,"ASPCA lists Clematis as toxic to dogs, cats, horses."
P2,AAA0355,Colchicum autumnale,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/colchicum-autumnale/,"ASPCA lists Colchicum as highly toxic to dogs, cats, and horses. No antidote exists for colchicine poisoning. Treat as medical emergency."
P2,AAA0357,Colocasia esculenta,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/colocasia-esculenta/,Only the raw plant is toxic; properly cooked taro is a staple food for hundreds of millions.
P2,AAA0361,Convallaria majalis,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/convallaria-majalis/,"ASPCA lists Convallaria as toxic to dogs, cats, and horses. All parts including vase water dangerously toxic."
P2,AAA0380,Crassula arborescens,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/crassula-arborescens/,ASPCA lists Crassula (jade plant) as toxic to pets.
P2,AAA0381,Crassula ovata,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/crassula-ovata/,Specific toxic compounds are not well characterized; ASPCA documents clinical effects including cardiac symptoms.
P2,AAA0382,Crassula perforata,horse,,horse_toxic_source_only,toxic,"Consider note: NC State flags horse toxicity, but YardMate schema has no horse target.",NC State https://plants.ces.ncsu.edu/plants/crassula-perforata/,ASPCA lists Crassula genus as toxic to pets.
